  INFO root [2018-10-30 00:38:51,856] - 
  INFO root [2018-10-30 00:56:17,033] - Shutdowner::onShutdownBegin: shutting down(period=0, tickPeriod=1)
  INFO root [2018-10-30 00:56:17,034] - Shutdowner::onShutdown: shutting down
  INFO root [2018-10-30 00:56:17,034] - Shutdowner::onShutdownEnd: shutting down
 DEBUG root [2018-10-30 00:56:17,035] - ThreadPool::destroy(): starting size 2.
  INFO root [2018-10-30 00:56:18,086] - 
  INFO root [2018-10-30 00:56:18,087] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 00:56:18,088] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-10-30 00:56:18,088] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-10-30 00:56:18,088] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-10-30 00:56:18,094] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.107 ( 192.168.0.107:49825 )
  INFO root [2018-10-30 00:56:18,094] - NetworkInterface::initialize(INTERNAL): address 192.168.0.107:49825, SOMAXCONN=5.
  INFO root [2018-10-30 00:56:18,094] - server-configs:
  INFO root [2018-10-30 00:56:18,094] - 	internalAddr : 192.168.0.107:49825
  INFO root [2018-10-30 00:56:18,094] - 	componentID : 6000
  WARN root [2018-10-30 00:56:18,408] - BundleBroadcast::BundleBroadcast: Cannot bind to port 20715, errorno=10048
  INFO root [2018-10-30 00:56:18,412] - ---- cellappmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: 52E8E19C86891AC3218081DFAA2FD187. Config: Debug X86. Built: 15:52:42 Apr 29 2018. AppID: 6000. UID: 19339. PID: 2156 ----
  INFO root [2018-10-30 00:56:18,412] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-10-30 00:56:18,412] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-10-30 00:56:18,413] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-10-30 00:56:18,729] - ---- cellappmgr is running ----
 DEBUG root [2018-10-30 00:56:18,729] - Components::process(): Request for the process of identity...
  INFO root [2018-10-30 00:56:25,854] - Components::findComponents: find logger(1)...
  INFO root [2018-10-30 00:56:25,956] - Components::findComponents: found logger, addr:192.168.0.107:49824
  INFO root [2018-10-30 00:56:25,957] - Components::addComponent: reset orderLog, uid=19339!
  INFO root [2018-10-30 00:56:25,957] - Components::addComponent[logger], uid=19339, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:56:25,959] - Components::findComponents: find dbmgr(2)...
  INFO root [2018-10-30 00:56:26,061] - Components::findComponents: found dbmgr, addr:192.168.0.107:49822
  INFO root [2018-10-30 00:56:26,062] - Components::addComponent: reset orderLog, uid=19339!
  INFO root [2018-10-30 00:56:26,062] - Components::addComponent[dbmgr], uid=19339, componentID=4000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:56:26,063] - Components::findComponents: found dbmgr, addr:192.168.0.107:49822
  WARN root [2018-10-30 00:56:27,063] - Forwarding logs to logger[192.168.0.107:49824/0/0/0]...
 ERROR root [2018-10-30 01:01:04,072] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 01:01:04,074] - The following logs sent to logger failed:
  WARN root [2018-10-30 01:01:04,074] - ==> [2018-10-30 01:01:04 071] TCPPacketReceiver::processPendingEvents(192.168.0.107:49824): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 01:01:04,074] - ==> [2018-10-30 01:01:04 073] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  WARN root [2018-10-30 01:01:04,120] - TCPPacketReceiver::processPendingEvents(192.168.0.107:49822): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 01:01:04,121] - Components::removeComponentByChannel: dbmgr : 4000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 01:01:04,124] - Shutdowner::onShutdownBegin: shutting down(period=0, tickPeriod=1)
  INFO root [2018-10-30 01:01:04,131] - Shutdowner::onShutdown: shutting down
  INFO root [2018-10-30 01:01:04,131] - Shutdowner::onShutdownEnd: shutting down
 DEBUG root [2018-10-30 01:01:04,131] - ThreadPool::destroy(): starting size 2.
  INFO root [2018-10-30 01:01:05,222] - 
  INFO root [2018-10-30 01:01:05,223] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 01:01:05,224] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-10-30 01:01:05,224] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-10-30 01:01:05,224] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-10-30 01:01:05,230] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.107 ( 192.168.0.107:50273 )
  INFO root [2018-10-30 01:01:05,230] - NetworkInterface::initialize(INTERNAL): address 192.168.0.107:50273, SOMAXCONN=5.
  INFO root [2018-10-30 01:01:05,230] - server-configs:
  INFO root [2018-10-30 01:01:05,230] - 	internalAddr : 192.168.0.107:50273
  INFO root [2018-10-30 01:01:05,231] - 	componentID : 6000
  WARN root [2018-10-30 01:01:05,541] - BundleBroadcast::BundleBroadcast: Cannot bind to port 20876, errorno=10048
  INFO root [2018-10-30 01:01:05,545] - ---- cellappmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: 52E8E19C86891AC3218081DFAA2FD187. Config: Debug X86. Built: 15:52:42 Apr 29 2018. AppID: 6000. UID: 20276. PID: 8860 ----
  INFO root [2018-10-30 01:01:05,545] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-10-30 01:01:05,545] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-10-30 01:01:05,545] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-10-30 01:01:05,883] - ---- cellappmgr is running ----
 DEBUG root [2018-10-30 01:01:05,883] - Components::process(): Request for the process of identity...
  INFO root [2018-10-30 01:01:12,965] - Components::findComponents: find logger(1)...
  INFO root [2018-10-30 01:01:13,021] - Components::findComponents: found logger, addr:192.168.0.107:50276
  INFO root [2018-10-30 01:01:13,022] - Components::addComponent: reset orderLog, uid=20276!
  INFO root [2018-10-30 01:01:13,022] - Components::addComponent[logger], uid=20276, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 01:01:13,024] - Components::findComponents: find dbmgr(2)...
  INFO root [2018-10-30 01:01:13,126] - Components::findComponents: found dbmgr, addr:192.168.0.107:50277
  INFO root [2018-10-30 01:01:13,126] - Components::addComponent: reset orderLog, uid=20276!
  INFO root [2018-10-30 01:01:13,127] - Components::addComponent[dbmgr], uid=20276, componentID=4000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 01:01:13,127] - Components::findComponents: found dbmgr, addr:192.168.0.107:50277
  WARN root [2018-10-30 01:01:14,128] - Forwarding logs to logger[192.168.0.107:50276/0/0/0]...
 ERROR root [2018-10-30 01:04:06,313] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 01:04:06,317] - The following logs sent to logger failed:
  WARN root [2018-10-30 01:04:06,317] - ==> [2018-10-30 01:04:06 312] TCPPacketReceiver::processPendingEvents(192.168.0.107:50276): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 01:04:06,317] - ==> [2018-10-30 01:04:06 314] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  WARN root [2018-10-30 01:04:06,360] - TCPPacketReceiver::processPendingEvents(192.168.0.107:50277): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 01:04:06,361] - Components::removeComponentByChannel: dbmgr : 4000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 01:04:06,366] - Shutdowner::onShutdownBegin: shutting down(period=0, tickPeriod=1)
  INFO root [2018-10-30 01:04:06,367] - Shutdowner::onShutdown: shutting down
  INFO root [2018-10-30 01:04:06,367] - Shutdowner::onShutdownEnd: shutting down
